"respondent","round","profile","att_1","att_2","att_3","att_4","att_5","dv"
1,1,1,0,0,0,0,0,1
1,1,2,0,0,0,1,1,3
1,1,3,0,1,1,0,1,3
1,1,4,0,1,1,1,0,3
1,1,5,1,0,1,0,1,4
1,1,6,1,0,1,1,0,4
1,1,7,1,1,0,0,0,4
1,1,8,1,1,0,1,1,5
1,2,1,0,0,0,0,0,1
1,2,2,0,0,0,1,1,2
1,2,3,0,1,1,0,1,3
1,2,4,0,1,1,1,0,3
1,2,5,1,0,1,0,1,4
1,2,6,1,0,1,1,0,4
1,2,7,1,1,0,0,0,4
1,2,8,1,1,0,1,1,5
2,1,1,0,0,0,0,0,2
2,1,2,0,0,0,1,1,3
2,1,3,0,1,1,0,1,3
2,1,4,0,1,1,1,0,4
2,1,5,1,0,1,0,1,5
2,1,6,1,0,1,1,0,6
2,1,7,1,1,0,0,0,3
2,1,8,1,1,0,1,1,5
2,2,1,0,0,0,0,0,1
2,2,2,0,0,0,1,1,2
2,2,3,0,1,1,0,1,3
2,2,4,0,1,1,1,0,5
2,2,5,1,0,1,0,1,5
2,2,6,1,0,1,1,0,6
2,2,7,1,1,0,0,0,2
2,2,8,1,1,0,1,1,5
3,1,1,0,0,0,0,0,1
3,1,2,0,0,0,1,1,1
3,1,3,0,1,1,0,1,2
3,1,4,0,1,1,1,0,3
3,1,5,1,0,1,0,1,5
3,1,6,1,0,1,1,0,5
3,1,7,1,1,0,0,0,3
3,1,8,1,1,0,1,1,5
3,2,1,0,0,0,0,0,1
3,2,2,0,0,0,1,1,1
3,2,3,0,1,1,0,1,5
3,2,4,0,1,1,1,0,5
3,2,5,1,0,1,0,1,5
3,2,6,1,0,1,1,0,5
3,2,7,1,1,0,0,0,2
3,2,8,1,1,0,1,1,6
4,1,1,0,0,0,0,0,2
4,1,2,0,0,0,1,1,3
4,1,3,0,1,1,0,1,5
4,1,4,0,1,1,1,0,5
4,1,5,1,0,1,0,1,6
4,1,6,1,0,1,1,0,6
4,1,7,1,1,0,0,0,5
4,1,8,1,1,0,1,1,7
4,2,1,0,0,0,0,0,2
4,2,2,0,0,0,1,1,3
4,2,3,0,1,1,0,1,5
4,2,4,0,1,1,1,0,5
4,2,5,1,0,1,0,1,5
4,2,6,1,0,1,1,0,5
4,2,7,1,1,0,0,0,5
4,2,8,1,1,0,1,1,6
5,1,1,0,0,0,0,0,1
5,1,2,0,0,0,1,1,4
5,1,3,0,1,1,0,1,3
5,1,4,0,1,1,1,0,3
5,1,5,1,0,1,0,1,5
5,1,6,1,0,1,1,0,6
5,1,7,1,1,0,0,0,4
5,1,8,1,1,0,1,1,6
5,2,1,0,0,0,0,0,1
5,2,2,0,0,0,1,1,3
5,2,3,0,1,1,0,1,3
5,2,4,0,1,1,1,0,5
5,2,5,1,0,1,0,1,5
5,2,6,1,0,1,1,0,5
5,2,7,1,1,0,0,0,4
5,2,8,1,1,0,1,1,5
6,1,1,0,0,0,0,0,1
6,1,2,0,0,0,1,1,3
6,1,3,0,1,1,0,1,3
6,1,4,0,1,1,1,0,4
6,1,5,1,0,1,0,1,4
6,1,6,1,0,1,1,0,6
6,1,7,1,1,0,0,0,3
6,1,8,1,1,0,1,1,5
6,2,1,0,0,0,0,0,1
6,2,2,0,0,0,1,1,3
6,2,3,0,1,1,0,1,3
6,2,4,0,1,1,1,0,3
6,2,5,1,0,1,0,1,5
6,2,6,1,0,1,1,0,6
6,2,7,1,1,0,0,0,3
6,2,8,1,1,0,1,1,4
7,1,1,0,0,0,0,0,1
7,1,2,0,0,0,1,1,1
7,1,3,0,1,1,0,1,2
7,1,4,0,1,1,1,0,5
7,1,5,1,0,1,0,1,3
7,1,6,1,0,1,1,0,6
7,1,7,1,1,0,0,0,2
7,1,8,1,1,0,1,1,6
7,2,1,0,0,0,0,0,1
7,2,2,0,0,0,1,1,2
7,2,3,0,1,1,0,1,2
7,2,4,0,1,1,1,0,5
7,2,5,1,0,1,0,1,5
7,2,6,1,0,1,1,0,5
7,2,7,1,1,0,0,0,2
7,2,8,1,1,0,1,1,6
8,1,1,0,0,0,0,0,1
8,1,2,0,0,0,1,1,4
8,1,3,0,1,1,0,1,4
8,1,4,0,1,1,1,0,5
8,1,5,1,0,1,0,1,6
8,1,6,1,0,1,1,0,6
8,1,7,1,1,0,0,0,3
8,1,8,1,1,0,1,1,5
8,2,1,0,0,0,0,0,1
8,2,2,0,0,0,1,1,4
8,2,3,0,1,1,0,1,4
8,2,4,0,1,1,1,0,5
8,2,5,1,0,1,0,1,5
8,2,6,1,0,1,1,0,6
8,2,7,1,1,0,0,0,3
8,2,8,1,1,0,1,1,5
9,1,1,0,0,0,0,0,1
9,1,2,0,0,0,1,1,2
9,1,3,0,1,1,0,1,1
9,1,4,0,1,1,1,0,2
9,1,5,1,0,1,0,1,3
9,1,6,1,0,1,1,0,4
9,1,7,1,1,0,0,0,2
9,1,8,1,1,0,1,1,5
9,2,1,0,0,0,0,0,1
9,2,2,0,0,0,1,1,2
9,2,3,0,1,1,0,1,2
9,2,4,0,1,1,1,0,2
9,2,5,1,0,1,0,1,2
9,2,6,1,0,1,1,0,3
9,2,7,1,1,0,0,0,3
9,2,8,1,1,0,1,1,5
10,1,1,0,0,0,0,0,2
10,1,2,0,0,0,1,1,4
10,1,3,0,1,1,0,1,5
10,1,4,0,1,1,1,0,4
10,1,5,1,0,1,0,1,5
10,1,6,1,0,1,1,0,5
10,1,7,1,1,0,0,0,4
10,1,8,1,1,0,1,1,5
10,2,1,0,0,0,0,0,2
10,2,2,0,0,0,1,1,3
10,2,3,0,1,1,0,1,4
10,2,4,0,1,1,1,0,5
10,2,5,1,0,1,0,1,5
10,2,6,1,0,1,1,0,5
10,2,7,1,1,0,0,0,4
10,2,8,1,1,0,1,1,5
11,1,1,0,0,0,0,0,1
11,1,2,0,0,0,1,1,2
11,1,3,0,1,1,0,1,2
11,1,4,0,1,1,1,0,3
11,1,5,1,0,1,0,1,5
11,1,6,1,0,1,1,0,6
11,1,7,1,1,0,0,0,3
11,1,8,1,1,0,1,1,7
11,2,1,0,0,0,0,0,1
11,2,2,0,0,0,1,1,1
11,2,3,0,1,1,0,1,1
11,2,4,0,1,1,1,0,2
11,2,5,1,0,1,0,1,6
11,2,6,1,0,1,1,0,6
11,2,7,1,1,0,0,0,4
11,2,8,1,1,0,1,1,6
12,1,1,0,0,0,0,0,1
12,1,2,0,0,0,1,1,3
12,1,3,0,1,1,0,1,5
12,1,4,0,1,1,1,0,4
12,1,5,1,0,1,0,1,5
12,1,6,1,0,1,1,0,3
12,1,7,1,1,0,0,0,4
12,1,8,1,1,0,1,1,6
12,2,1,0,0,0,0,0,1
12,2,2,0,0,0,1,1,2
12,2,3,0,1,1,0,1,5
12,2,4,0,1,1,1,0,5
12,2,5,1,0,1,0,1,4
12,2,6,1,0,1,1,0,3
12,2,7,1,1,0,0,0,3
12,2,8,1,1,0,1,1,6
13,1,1,0,0,0,0,0,1
13,1,2,0,0,0,1,1,2
13,1,3,0,1,1,0,1,4
13,1,4,0,1,1,1,0,4
13,1,5,1,0,1,0,1,7
13,1,6,1,0,1,1,0,7
13,1,7,1,1,0,0,0,5
13,1,8,1,1,0,1,1,6
13,2,1,0,0,0,0,0,1
13,2,2,0,0,0,1,1,4
13,2,3,0,1,1,0,1,4
13,2,4,0,1,1,1,0,4
13,2,5,1,0,1,0,1,6
13,2,6,1,0,1,1,0,7
13,2,7,1,1,0,0,0,5
13,2,8,1,1,0,1,1,6
14,1,1,0,0,0,0,0,1
14,1,2,0,0,0,1,1,2
14,1,3,0,1,1,0,1,2
14,1,4,0,1,1,1,0,2
14,1,5,1,0,1,0,1,6
14,1,6,1,0,1,1,0,6
14,1,7,1,1,0,0,0,2
14,1,8,1,1,0,1,1,2
14,2,1,0,0,0,0,0,1
14,2,2,0,0,0,1,1,2
14,2,3,0,1,1,0,1,2
14,2,4,0,1,1,1,0,2
14,2,5,1,0,1,0,1,6
14,2,6,1,0,1,1,0,6
14,2,7,1,1,0,0,0,2
14,2,8,1,1,0,1,1,2
15,1,1,0,0,0,0,0,1
15,1,2,0,0,0,1,1,2
15,1,3,0,1,1,0,1,4
15,1,4,0,1,1,1,0,4
15,1,5,1,0,1,0,1,5
15,1,6,1,0,1,1,0,5
15,1,7,1,1,0,0,0,4
15,1,8,1,1,0,1,1,4
15,2,1,0,0,0,0,0,1
15,2,2,0,0,0,1,1,2
15,2,3,0,1,1,0,1,4
15,2,4,0,1,1,1,0,3
15,2,5,1,0,1,0,1,4
15,2,6,1,0,1,1,0,5
15,2,7,1,1,0,0,0,3
15,2,8,1,1,0,1,1,4
16,1,1,0,0,0,0,0,1
16,1,2,0,0,0,1,1,1
16,1,3,0,1,1,0,1,1
16,1,4,0,1,1,1,0,2
16,1,5,1,0,1,0,1,6
16,1,6,1,0,1,1,0,6
16,1,7,1,1,0,0,0,6
16,1,8,1,1,0,1,1,6
16,2,1,0,0,0,0,0,1
16,2,2,0,0,0,1,1,1
16,2,3,0,1,1,0,1,1
16,2,4,0,1,1,1,0,2
16,2,5,1,0,1,0,1,6
16,2,6,1,0,1,1,0,6
16,2,7,1,1,0,0,0,5
16,2,8,1,1,0,1,1,6
17,1,1,0,0,0,0,0,2
17,1,2,0,0,0,1,1,4
17,1,3,0,1,1,0,1,4
17,1,4,0,1,1,1,0,3
17,1,5,1,0,1,0,1,4
17,1,6,1,0,1,1,0,5
17,1,7,1,1,0,0,0,4
17,1,8,1,1,0,1,1,5
17,2,1,0,0,0,0,0,2
17,2,2,0,0,0,1,1,2
17,2,3,0,1,1,0,1,4
17,2,4,0,1,1,1,0,4
17,2,5,1,0,1,0,1,4
17,2,6,1,0,1,1,0,5
17,2,7,1,1,0,0,0,3
17,2,8,1,1,0,1,1,5
18,1,1,0,0,0,0,0,1
18,1,2,0,0,0,1,1,1
18,1,3,0,1,1,0,1,4
18,1,4,0,1,1,1,0,4
18,1,5,1,0,1,0,1,4
18,1,6,1,0,1,1,0,5
18,1,7,1,1,0,0,0,3
18,1,8,1,1,0,1,1,5
18,2,1,0,0,0,0,0,1
18,2,2,0,0,0,1,1,2
18,2,3,0,1,1,0,1,4
18,2,4,0,1,1,1,0,5
18,2,5,1,0,1,0,1,5
18,2,6,1,0,1,1,0,5
18,2,7,1,1,0,0,0,3
18,2,8,1,1,0,1,1,4
19,1,1,0,0,0,0,0,1
19,1,2,0,0,0,1,1,2
19,1,3,0,1,1,0,1,3
19,1,4,0,1,1,1,0,3
19,1,5,1,0,1,0,1,5
19,1,6,1,0,1,1,0,5
19,1,7,1,1,0,0,0,4
19,1,8,1,1,0,1,1,6
19,2,1,0,0,0,0,0,1
19,2,2,0,0,0,1,1,3
19,2,3,0,1,1,0,1,2
19,2,4,0,1,1,1,0,4
19,2,5,1,0,1,0,1,3
19,2,6,1,0,1,1,0,5
19,2,7,1,1,0,0,0,5
19,2,8,1,1,0,1,1,6
20,1,1,0,0,0,0,0,1
20,1,2,0,0,0,1,1,2
20,1,3,0,1,1,0,1,3
20,1,4,0,1,1,1,0,3
20,1,5,1,0,1,0,1,5
20,1,6,1,0,1,1,0,6
20,1,7,1,1,0,0,0,5
20,1,8,1,1,0,1,1,7
20,2,1,0,0,0,0,0,1
20,2,2,0,0,0,1,1,2
20,2,3,0,1,1,0,1,3
20,2,4,0,1,1,1,0,3
20,2,5,1,0,1,0,1,5
20,2,6,1,0,1,1,0,5
20,2,7,1,1,0,0,0,5
20,2,8,1,1,0,1,1,7
21,1,1,0,0,0,0,0,1
21,1,2,0,0,0,1,1,3
21,1,3,0,1,1,0,1,3
21,1,4,0,1,1,1,0,3
21,1,5,1,0,1,0,1,5
21,1,6,1,0,1,1,0,6
21,1,7,1,1,0,0,0,5
21,1,8,1,1,0,1,1,6
21,2,1,0,0,0,0,0,1
21,2,2,0,0,0,1,1,2
21,2,3,0,1,1,0,1,2
21,2,4,0,1,1,1,0,2
21,2,5,1,0,1,0,1,6
21,2,6,1,0,1,1,0,6
21,2,7,1,1,0,0,0,5
21,2,8,1,1,0,1,1,7
22,1,1,0,0,0,0,0,2
22,1,2,0,0,0,1,1,3
22,1,3,0,1,1,0,1,5
22,1,4,0,1,1,1,0,6
22,1,5,1,0,1,0,1,6
22,1,6,1,0,1,1,0,6
22,1,7,1,1,0,0,0,3
22,1,8,1,1,0,1,1,5
22,2,1,0,0,0,0,0,1
22,2,2,0,0,0,1,1,3
22,2,3,0,1,1,0,1,5
22,2,4,0,1,1,1,0,4
22,2,5,1,0,1,0,1,6
22,2,6,1,0,1,1,0,6
22,2,7,1,1,0,0,0,3
22,2,8,1,1,0,1,1,6
23,1,1,0,0,0,0,0,3
23,1,2,0,0,0,1,1,3
23,1,3,0,1,1,0,1,3
23,1,4,0,1,1,1,0,3
23,1,5,1,0,1,0,1,5
23,1,6,1,0,1,1,0,5
23,1,7,1,1,0,0,0,5
23,1,8,1,1,0,1,1,6
23,2,1,0,0,0,0,0,2
23,2,2,0,0,0,1,1,3
23,2,3,0,1,1,0,1,4
23,2,4,0,1,1,1,0,3
23,2,5,1,0,1,0,1,5
23,2,6,1,0,1,1,0,6
23,2,7,1,1,0,0,0,6
23,2,8,1,1,0,1,1,6
24,1,1,0,0,0,0,0,1
24,1,2,0,0,0,1,1,3
24,1,3,0,1,1,0,1,3
24,1,4,0,1,1,1,0,3
24,1,5,1,0,1,0,1,5
24,1,6,1,0,1,1,0,6
24,1,7,1,1,0,0,0,5
24,1,8,1,1,0,1,1,5
24,2,1,0,0,0,0,0,1
24,2,2,0,0,0,1,1,1
24,2,3,0,1,1,0,1,3
24,2,4,0,1,1,1,0,3
24,2,5,1,0,1,0,1,6
24,2,6,1,0,1,1,0,6
24,2,7,1,1,0,0,0,5
24,2,8,1,1,0,1,1,6
25,1,1,0,0,0,0,0,1
25,1,2,0,0,0,1,1,5
25,1,3,0,1,1,0,1,3
25,1,4,0,1,1,1,0,5
25,1,5,1,0,1,0,1,3
25,1,6,1,0,1,1,0,6
25,1,7,1,1,0,0,0,2
25,1,8,1,1,0,1,1,7
25,2,1,0,0,0,0,0,1
25,2,2,0,0,0,1,1,4
25,2,3,0,1,1,0,1,3
25,2,4,0,1,1,1,0,5
25,2,5,1,0,1,0,1,3
25,2,6,1,0,1,1,0,6
25,2,7,1,1,0,0,0,2
25,2,8,1,1,0,1,1,7
26,1,1,0,0,0,0,0,1
26,1,2,0,0,0,1,1,2
26,1,3,0,1,1,0,1,4
26,1,4,0,1,1,1,0,3
26,1,5,1,0,1,0,1,5
26,1,6,1,0,1,1,0,5
26,1,7,1,1,0,0,0,4
26,1,8,1,1,0,1,1,6
26,2,1,0,0,0,0,0,1
26,2,2,0,0,0,1,1,2
26,2,3,0,1,1,0,1,4
26,2,4,0,1,1,1,0,4
26,2,5,1,0,1,0,1,5
26,2,6,1,0,1,1,0,5
26,2,7,1,1,0,0,0,4
26,2,8,1,1,0,1,1,6
27,1,1,0,0,0,0,0,1
27,1,2,0,0,0,1,1,1
27,1,3,0,1,1,0,1,2
27,1,4,0,1,1,1,0,3
27,1,5,1,0,1,0,1,3
27,1,6,1,0,1,1,0,5
27,1,7,1,1,0,0,0,5
27,1,8,1,1,0,1,1,5
27,2,1,0,0,0,0,0,1
27,2,2,0,0,0,1,1,2
27,2,3,0,1,1,0,1,3
27,2,4,0,1,1,1,0,3
27,2,5,1,0,1,0,1,5
27,2,6,1,0,1,1,0,5
27,2,7,1,1,0,0,0,5
